Date,Holiday,Tag
2020-01-01,元旦,休假
2020-01-19,廿五,补班
2020-01-24,除夕,休假
2020-01-25,春节,休假
2020-01-26,初二,休假
2020-01-27,初三,休假
2020-01-28,初四,休假
2020-01-29,初五,休假
2020-01-30,初六,休假
2020-02-01,初八,补班
2020-04-04,清明,休假
2020-04-05,十三,休假
2020-04-06,十四,休假
2020-04-26,初四,补班
2020-05-01,劳动节,休假
2020-05-02,初十,休假
2020-05-03,十一,休假
2020-05-04,青年节,休假
2020-05-05,世界防治哮喘日,休假
2020-05-09,十七,补班
2020-06-25,端午节,休假
2020-06-26,禁毒日,休假
2020-06-27,初七,休假
2020-06-28,初八,补班
2020-09-27,十一,补班
2020-10-01,国庆节,休假
2020-10-02,十六,休假
2020-10-03,十七,休假
2020-10-04,十八,休假
2020-10-05,十九,休假
2020-10-06,二十,休假
2020-10-07,廿一,休假
2020-10-08,寒露,休假
2020-10-10,廿四,补班
